Time,EventName,EventSource,ClientIP
2024/06/02 16:57:19,Bypass Mode,MCU Polling,----
2024/06/02 17:02:20,Bypass Mode,MCU Polling,----
2024/06/02 17:07:20,Bypass Mode,MCU Polling,----
2024/06/02 17:12:19,Bypass Mode,MCU Polling,----
2024/06/02 17:17:19,Bypass Mode,MCU Polling,----
2024/06/02 17:22:20,Bypass Mode,MCU Polling,----
2024/06/02 17:27:17,Bypass Mode,MCU Polling,----
2024/06/02 17:32:17,Bypass Mode,MCU Polling,----
2024/06/02 17:37:26,Bypass Mode,MCU Polling,----
2024/06/02 17:42:25,Bypass Mode,MCU Polling,----
2024/06/02 17:47:25,Bypass Mode,MCU Polling,----
2024/06/02 17:52:26,Bypass Mode,MCU Polling,----
2024/06/02 17:57:26,Bypass Mode,MCU Polling,----
2024/06/02 18:02:26,Bypass Mode,MCU Polling,----
2024/06/02 18:07:27,Bypass Mode,MCU Polling,----
2024/06/02 18:12:27,Bypass Mode,MCU Polling,----
2024/06/02 18:17:28,Bypass Mode,MCU Polling,----
2024/06/02 18:22:28,Bypass Mode,MCU Polling,----
2024/06/02 18:27:30,Bypass Mode,MCU Polling,----
2024/06/02 18:27:59,AC failure,MCU Polling,----
2024/06/02 18:32:01,AC recovery,MCU Polling,----
2024/06/02 18:32:30,Bypass Mode,MCU Polling,----
2024/06/02 18:37:30,Bypass Mode,MCU Polling,----
2024/06/02 18:42:30,Bypass Mode,MCU Polling,----
2024/06/02 18:47:30,Bypass Mode,MCU Polling,----
2024/06/02 18:52:30,Bypass Mode,MCU Polling,----
2024/06/02 18:57:31,Bypass Mode,MCU Polling,----
2024/06/02 19:02:31,Bypass Mode,MCU Polling,----
2024/06/02 19:04:37,AC failure,MCU Polling,----
2024/06/02 19:06:44,The warning:"Over temperature alarm"was removed,MCU Polling,----
2024/06/02 19:17:31,Line Mode,MCU Polling,----
2024/06/02 19:17:34,AC recovery,MCU Polling,----
2024/06/02 19:17:41,Battery Test,MCU Polling,----
2024/06/02 19:17:44,Battery self-test passed,MCU Polling,----
2024/06/02 19:17:51,Line Mode,MCU Polling,----
2024/06/03 08:11:42,Battery Mode,MCU Polling,----
2024/06/03 08:11:45,AC failure,MCU Polling,----
2024/06/03 08:15:07,Line Mode,MCU Polling,----
2024/06/03 08:15:10,AC recovery,MCU Polling,----
2024/06/03 13:49:46,Battery Mode,MCU Polling,----
2024/06/03 13:49:50,AC failure,MCU Polling,----
2024/06/03 13:50:16,Fault Mode,MCU Polling,----
2024/06/03 13:50:18,Over temperature fault,MCU Polling,----
2024/06/03 13:50:18,Over temperature alarm,MCU Polling,----
2024/06/03 14:35:32,AC recovery,MCU Polling,----
2024/06/03 14:39:05,Bypass Mode,MCU Polling,----
2024/06/03 14:44:10,Bypass Mode,MCU Polling,----
2024/06/03 14:49:10,Bypass Mode,MCU Polling,----
2024/06/03 14:54:20,Bypass Mode,MCU Polling,----
2024/06/03 14:59:20,Bypass Mode,MCU Polling,----
2024/06/03 15:04:22,Bypass Mode,MCU Polling,----
2024/06/03 15:09:21,Bypass Mode,MCU Polling,----
2024/06/03 15:14:21,Bypass Mode,MCU Polling,----
2024/06/03 15:19:21,Bypass Mode,MCU Polling,----
2024/06/03 15:24:31,Bypass Mode,MCU Polling,----
2024/06/03 15:29:31,Bypass Mode,MCU Polling,----
2024/06/03 15:34:31,Bypass Mode,MCU Polling,----
2024/06/03 15:39:31,Bypass Mode,MCU Polling,----
2024/06/03 15:44:31,Bypass Mode,MCU Polling,----
2024/06/03 15:49:40,Bypass Mode,MCU Polling,----
2024/06/03 15:54:40,Bypass Mode,MCU Polling,----
2024/06/03 15:59:41,Bypass Mode,MCU Polling,----
2024/06/03 16:04:50,Bypass Mode,MCU Polling,----
2024/06/03 16:10:00,Bypass Mode,MCU Polling,----
2024/06/03 16:15:01,Bypass Mode,MCU Polling,----
2024/06/03 16:16:39,AC failure,MCU Polling,----
2024/06/03 17:15:36,AC recovery,MCU Polling,----
2024/06/03 17:20:07,Bypass Mode,MCU Polling,----
2024/06/03 17:25:02,Bypass Mode,MCU Polling,----
2024/06/03 17:30:03,Bypass Mode,MCU Polling,----
2024/06/03 17:35:04,Bypass Mode,MCU Polling,----
2024/06/03 17:40:05,Bypass Mode,MCU Polling,----
2024/06/03 17:45:06,Bypass Mode,MCU Polling,----
2024/06/03 17:50:06,Bypass Mode,MCU Polling,----
2024/06/03 17:55:07,Bypass Mode,MCU Polling,----
2024/06/03 18:00:15,Bypass Mode,MCU Polling,----
2024/06/03 18:05:15,Bypass Mode,MCU Polling,----
2024/06/03 18:10:24,Bypass Mode,MCU Polling,----
2024/06/03 18:15:24,Bypass Mode,MCU Polling,----
2024/06/03 18:20:25,Bypass Mode,MCU Polling,----
2024/06/03 18:25:26,Bypass Mode,MCU Polling,----
2024/06/03 18:30:26,Bypass Mode,MCU Polling,----
2024/06/03 18:35:27,Bypass Mode,MCU Polling,----
2024/06/03 18:40:28,Bypass Mode,MCU Polling,----
2024/06/03 18:45:28,Bypass Mode,MCU Polling,----
2024/06/03 18:50:29,Bypass Mode,MCU Polling,----
2024/06/03 18:55:30,Bypass Mode,MCU Polling,----
2024/06/03 18:57:17,AC failure,MCU Polling,----
2024/06/03 18:57:26,AC recovery,MCU Polling,----
2024/06/03 18:58:44,AC failure,MCU Polling,----
2024/06/03 18:58:53,The warning:"Over temperature alarm"was removed,MCU Polling,----
2024/06/23 03:49:47,Battery Mode,MCU Polling,----
2024/06/23 03:49:50,AC failure,MCU Polling,----
2024/06/23 03:50:48,AC recovery,MCU Polling,----
2024/06/23 03:50:55,Line Mode,MCU Polling,----
2024/06/24 11:05:36,Battery Mode,MCU Polling,----
2024/06/24 11:05:39,AC failure,MCU Polling,----
2024/06/24 11:51:12,AC recovery,MCU Polling,----
2024/06/24 11:51:19,Line Mode,MCU Polling,----
2024/06/24 13:20:20,AC failure,MCU Polling,----
2024/06/24 13:20:27,Battery Mode,MCU Polling,----
